temporada,episodio,titulo,data_estreia,rating_imdb,votos_imdb,duracao,plot
4,12,The One with the Embryos,15 Jan 1998,9.4,9917.0,22 min,"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher."
4,13,The One with Rachel's Crush,29 Jan 1998,,5034.0,22 min,"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'."
4,14,The One with Joey's Dirty Day,05 Feb 1998,8.1,5082.0,22 min,"Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him."
4,15,The One with All the Rugby,26 Feb 1998,8.3,5469.0,22 min,"Chandler runs into Janice, and finds her more irritating than ever. Meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric switch."
4,16,The One with the Fake Party,19 Mar 1998,8.0,5124.0,22 min,Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.
4,17,The One with the Free Porn,26 Mar 1998,,5262.0,22 min,Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.
4,18,The One with Rachel's New Dress,02 Apr 1998,8.1,5061.0,22 min,Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.
4,19,The One with All the Haste,09 Apr 1998,,5361.0,22 min,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.
4,20,The One with All the Wedding Dresses,16 Apr 1998,8.4,5384.0,22 min,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring."
4,21,The One with the Invitation,23 Apr 1998,6.9,5617.0,22 min,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life."
4,22,The One with the Worst Best Man Ever,30 Apr 1998,8.3,5095.0,22 min,"At first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous."
4,23,The One with Ross's Wedding,07 May 1998,,5646.0,30 min,Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding.
4,24,The One with Ross's Wedding: Part 2,07 May 1998,9.1,7339.0,30 min,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with...
5,1,The One After Ross Says Rachel,24 Sep 1998,,5867.0,22 min,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together."
5,2,The One with All the Kissing,01 Oct 1998,8.9,6021.0,22 min,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to cont...
5,3,The One Hundredth,08 Oct 1998,8.7,6042.0,22 min,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones."
5,4,The One Where Phoebe Hates PBS,18 Oct 1998,,5106.0,22 min,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.
5,5,The One with the Kips,29 Oct 1998,8.6,5391.0,22 min,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.
5,6,The One with the Yeti,05 Nov 1998,7.8,4998.0,22 min,The gang become frustrated with Emily's demands. Monica and Rachel mistake their new neighbour for a yeti. Phoebe inherits a fur coat.
5,7,The One Where Ross Moves In,12 Nov 1998,8.2,5102.0,22 min,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.
5,8,The One with All the Thanksgivings,19 Nov 1998,9.0,7243.0,22 min,The gang remember and share with each other their worst Thanksgivings.
5,9,The One with Ross's Sandwich,10 Dec 1998,9.0,6453.0,22 min,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.
5,10,The One with the Inappropriate Sister,17 Dec 1998,8.0,4991.0,22 min,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.
5,11,The One with All the Resolutions,07 Jan 1999,9.0,6296.0,22 min,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Joey learns how to learn to play the guitar and Rachel decides not to gossip. Ross runs into trouble when he wears leather pants on a ...
5,12,The One with Chandler's Work Laugh,21 Jan 1999,8.1,5239.0,22 min,Monica becomes annoyed at how Chandler sucks up to his boss. Rachel tries to confront Monica about her relationship with Chandler. Ross hooks up with Janice when he finds out Emily is getting married.
5,13,The One with Joey's Bag,04 Feb 1999,7.9,4926.0,22 min,"Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages."
5,14,The One Where Everybody Finds Out,11 Feb 1999,9.7,14119.0,22 min,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship."
5,15,The One with the Girl Who Hits Joey,18 Feb 1999,8.4,5269.0,22 min,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell...
5,16,The One with the Cop,25 Feb 1999,,5584.0,22 min,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment."
5,17,The One with Rachel's Inadvertent Kiss,18 Mar 1999,8.3,5058.0,22 min,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.
5,18,The One Where Rachel Smokes,08 Apr 1999,7.8,4914.0,22 min,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in ad..."
5,19,The One Where Ross Can't Flirt,22 Apr 1999,8.6,5240.0,22 min,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced."
5,20,The One with the Ride Along,29 Apr 1999,8.1,4870.0,22 min,The guys go on a ride-along with Gary where Ross thinks Joey saved his life which angers Chandler because he thinks Joey chose Ross over him. Rachel accidentally deletes a message from Emily on Ross's answering machine.
5,21,The One with the Ball,06 May 1999,8.3,5341.0,22 min,"Gary asks Phoebe to move in with him but she's reluctant. To overcome boredom, Ross and Joey start endlessly throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would."
5,22,The One with Joey's Big Break,11 May 1999,8.1,5154.0,22 min,"Joey drives to Las Vegas to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why."
5,23,The One in Vegas: Part 1,20 May 1999,8.6,5619.0,22 min,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.
5,24,The One in Vegas: Part 2,20 May 1999,9.0,6420.0,22 min,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.
6,1,The One After Vegas,23 Sep 1999,,5650.0,22 min,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.
6,2,The One Where Ross Hugs Rachel,30 Sep 1999,8.0,4978.0,22 min,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.
6,3,The One with Ross's Denial,07 Oct 1999,8.0,4799.0,22 min,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.
6,4,The One Where Joey Loses His Insurance,14 Oct 1999,8.3,4950.0,22 min,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent."
6,5,The One with Joey's Porsche,21 Oct 1999,,5227.0,22 min,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets."
6,6,The One on the Last Night,04 Nov 1999,8.4,4889.0,22 min,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills."
6,7,The One Where Phoebe Runs,11 Nov 1999,8.2,5199.0,22 min,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.
6,8,The One with Ross' Teeth,18 Nov 1999,8.3,5073.0,22 min,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.
6,9,The One Where Ross Got High,25 Nov 1999,9.1,6970.0,22 min,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.
6,10,The One with the Routine,16 Dec 1999,,5246.0,22 min,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas pres..."
